"name","status","address_street","address_street2","address_city","address_state","address_zip","description","population_size","projects","web","issues","org_types"
"Planned Parenthood - Mar Monte ",0,"316 North Main Street","","Salinas","CA",93901,"Mission:  to ensure the knowledge, opportunity and freedom to make every child a wanted child and every family a healthy family.  PPMM is committed to provide accessible, affordable and compassionate reproductive, primary,  prenatal and pediatric health care and education to our culturally diverse community.    ",96000,"","","Education|Health & Human Services","Non-Profit"
"Cesar Chavez Elementary School  ",1,"1225 Towt Street","","Salinas","CA",93905,"K-6 Elementary School in the Alisal Union School District.  Mission:  to develop students who will set new standards of academic excellence for all students.  The school will be a model of the use of powerful teaching concepts and instructional  technologies in the service of educating students to world class levels of bilingualism and in their participation in the educational system to build a better future for themselves and their families. PS99    ",765,"Assessing pilot curriculum - before/after.
Family/parent literacy project (evening classes) or parent involvement.
","","Before/After School|Education|Literacy|Youth Development","Elementary School"
"Cesar Chavez Library Homework Center Program",0,"615 Williams Rd.","","Salinas","CA",93905,"To tutor children in subjects such as Math, Reading, and Science at the Elementary school level. Support schools.    ","","","","Education|Literacy","Non-Profit"
"Watsonville High School",1,"250 East Beach St.","","Watsonville","CA",95706,"To graduate students who are literate, demonstrate personal, social and civic responsiblity and have an appreciation for learning.    ","","","","Education","Elementary School"
"Above the Line",0,"505 Cayuga Street","","Santa Cruz","CA",95063,"Shelter and transitional services for homeless teens.","","","","Education|Health & Human Services","Non-Profit"
"Migrant Education Program-Region 16 MCOE",0,"P O BOx 80851 ","","Salinas","CA","93912-0851","    ","","","","",""
"Lincoln Elementary School",0,"705 California St.","","Salinas","CA",93901,"    ","","","","Education","Elementary School"
"Pajaro Valley Prevention And Student Assistance, Inc.",1,"335 East Lake Ave.","","Watsonville","CA",95076,"PVPSA serves children/families of Pajaro Valley.  Multiple programs and services including individual and family counseling, juvenile diversion, mentoring, paretn support/education, tobacco prevention/education and community events.","","","","Health & Human Services",""
"El Gabilan Elementary School",1,"1256 Linwood Drive","","Salinas","CA",93906,"To educate students (11-12 yrs. of age) in the curriculum and to facilitate it though technology.    ",750,"","","Education","Elementary School"
"Los Padres Elementary School",1,"1130 John Street","","Salinas","CA",93905,"K-6 elementary school.  This school has a dual immersion program: Bilingual spanish/english education. Additive language model.","","","","Education","Elementary School"
"Alisal Center for the Fine Arts",1,"PO Box 5440","","Salinas","CA","93915-5440","<p>To stimulate visual and intellectual expression as tools to develop inner capabilities relative to our culture and identity to achieve a growth that will lead us to unite without boundaries. ACFA mission is to provide art instruction in East Salinas, to bring cultural events to the community; to stimulate and foster community prode and participation in the arts: to promote the development of art forms and art production unique to the community and to create a more positive image of the Alisal community.</p>",656,"<p><br mce_bogus=\"1\"></p>","","Youth Development|Education|Arts","Non-Profit"
"Natividad Elementary School",1,"1465 Modoc","","Salinas","CA",93906,"    ","","","","Education|Youth Development","Elementary School"
"Alisal Union School District",0,"1205 East Market St.","","Salinas","CA","93905-2899","    ","","","","",""
"Monterey County Area Agency on Aging",0,"1000 Main Street, suite 202","","Salinas","CA",93901,"We are a subcontractor for federal and state funds for services.  Advocacy, information, and referral to senior, community groups, etc.    ","","Health promotion events, follow up and planning, on-going data collection, input, analysis, report generating, justifications.  Research and establishing new sites esp. in South County.","","",""
"Chualar Union Elementary School",1,"24285 Lincoln St.","","Chualar","CA","93925-0188","Elementary school providing education for students in grades K-8.  AVID  web page, 8th grade class standards improvements    migrant farmworker community, low income families mainly living in labor camps.  Isolated area with very little around for support.  Children take on the responsibilities of community building.",328,"","","Education",""
"Department of Social Services- Family and Children's Services Division",0,"1000 South Main St., Suite 112","","Salinas","CA",93901,"Public Child Welfare Agency    ",5000,"Data collection  Supervision Mentoring","","","Government"
"Early Breast Cancer Detection at Natividad Hospital  ",0,"91611 Natividad Rd.","","Salinas","CA",93901,"PS99    ","","","","Health & Human Services",""
"Art  for Social Change",0,"17467 Via Cielo","","Carmel Valley","CA",93924,"To produce individual and/or collaborative works with artists and nonprofit organizations.  To consult or teach individual and collaborative projects using art as a compelling force.  Art projects are designed to educate community leaders, elected representatives, and the public on social issues such as: health care, homelessness, drug and alcohol abuse and the cycle of addiction and abuse, immigration and bilingual education, welfare reform, pesticide abuse and pollution/environmental debates.    ","","","","Arts|Education",""
"Boys and Girls Club of the Salinas Valley",0,"P.O. Box 2643","","Salinas","CA",93902,"The Boys and Girls Clubs of the Salinas Valley (B&GCSV) is a locally controlled, autonomous affiliate of Boy¿s and Girl¿s Clubs of America. The B&GCSV provides youth development, guidance and recreation services to low-income youth 7 to 15 years of age . The B&GCSV offers age appropriate programs in Education, Cultural Enrichment, Health and Physical Fitness, Social Recreation, Outdoor and Environmental Education, and Citizenship and Leadership Development.    ",250,"","","Education|Environment|Health & Human Services|Youth Development","Non-Profit"
